T恤	ti4 xu4
连杆	lian2 gan3
连杆机构	lian2 gan3 ji1 gou4
连贯	lian2 guan4
连环	lian2 huan2
连环画	lian2 huan2 hua4
连获	lian2 huo4
连接	lian2 jie1
连结	lian2 jie2
连累	lian2 lei3
连连	lian2 lian2
连忙	lian2 mang2
连蒙带唬	lian2 meng1 dai4 hu3
连绵	lian2 mian2
连年	lian2 nian2
连皮	lian2 pi2
连篇	lian2 pian1
连篇累牍	lian2 pian1 lei3 du2
连庆	lian2 qing4
连任	lian2 ren4
连日	lian2 ri4
连日来	lian2 ri4 lai2
连声	lian2 sheng1
连声称赞	lian2 sheng1 cheng1 zan4
连锁	lian2 suo3
连锁店	lian2 suo3 dian4
连锁反应	lian2 suo3 fan3 ying4
连锁商店	lian2 suo3 shang1 dian4
连天	lian2 tian1
连通	lian2 tong1
连通器	lian2 tong1 qi4
连同	lian2 tong2
连头连尾	lian2 tou2 lian2 wei3
连写	lian2 xie3
连心	lian2 xin1
连续	lian2 xu4
连续不断	lian2 xu4 bu2 duan4
连续光谱	lian2 xu4 guang1 pu3
连续函数	lian2 xu4 han2 shu4
连演	lian2 yan3
连夜	lian2 ye4
连衣裙	lian2 yi1 qun2
连用	lian2 yong4
连云港	lian2 yun2 gang3
连载	lian2 zai3
镰刀	lian2 dao1
廉	lian2
廉耻	lian2 chi3
廉价	lian2 jia4
廉洁	lian2 jie2
廉政	lian2 zheng4
怜	lian2
怜悯	lian2 min3
帘	lian2
帘子	lian2 zi5
敛	lian3
脸	lian3
脸部	lian3 bu4
脸红	lian3 hong2
脸颊	lian3 jia2
脸面	lian3 mian4
脸庞	lian3 pang2
脸盆	lian3 pen2
脸皮	lian3 pi2
脸谱	lian3 pu3
脸色	lian3 se4
脸子	lian3 zi5
链	lian4
链轮	lian4 lun2
链球	lian4 qiu2
链球菌	lian4 qiu2 jun1
链式反应	lian4 shi4 fan3 ying4
链条	lian4 tiao2
链状	lian4 zhuang4
链子	lian4 zi5
恋	lian4
恋爱	lian4 ai4
恋恋不舍	lian4 lian4 bu4 she3
恋战	lian4 zhan4
炼	lian4
炼丹	lian4 dan1
炼钢	lian4 gang1
炼焦	lian4 jiao1
炼乳	lian4 ru3
炼铁	lian4 tie3
炼铁炉	lian4 tie3 lu2
炼油	lian4 you2
炼油厂	lian4 you2 chang3
炼制	lian4 zhi4
练	lian4
练兵	lian4 bing1
练功	lian4 gong1
练功房	lian4 gong1 fang2
练练	lian4 lian4
练练功	lian4 lian4 gong1
练球	lian4 qiu2
练武	lian4 wu3
练习	lian4 xi2
练习曲	lian4 xi2 qu3
练字	lian4 zi4
粮	liang2
粮仓	liang2 cang1
粮草	liang2 cao3
粮店	liang2 dian4
粮票	liang2 piao4
粮食	liang2 shi5
粮食作物	liang2 shi2 zuo1 wu4
粮站	liang2 zhan4
粮饷	liang2 xiang3
凉	liang2
凉	liang4
凉风	liang2 feng1
凉快	liang2 kuai4
凉快儿	liang2 kuai4 er2
凉山	liang2 shan1
凉爽	liang2 shuang3
凉水	liang2 shui3
凉鞋	liang2 xie2
梁	liang2
梁启超	liang2 qi3 chao1
梁山	liang2 shan1
梁山伯	liang2 shan1 bo2
梁武帝	liang2 wu3 di4
良	liang2
良策	liang2 ce4
良好	liang2 hao3
良机	liang2 ji1
良久	liang2 jiu3
良民	liang2 min2
良田	liang2 tian2
良心	liang2 xin1
良性	liang2 xing4
良药	liang2 yao4
良友	liang2 you3
良缘	liang2 yuan2
良知	liang2 zhi1
良种	liang2 zhong3
两	liang3
两岸	liang3 an4
两百	liang3 bai3
两百多	liang3 bai3 duo1
两边	liang3 bian1
两端	liang3 duan1
两儿	liang3 er2
两耳	liang3 er3
两分	liang3 fen1
两广	liang3 guang3
两汉	liang3 han4
两河	liang3 he2
两湖	liang3 hu2
两淮	liang3 huai2
两回事	liang3 hui2 shi4
两极	liang3 ji2
两极分化	liang3 ji2 fen1 hua4
两江	liang3 jiang1
两脚规	liang3 jiao3 gui1
两晋	liang3 jin4
两口子	liang3 kou3 zi5
两老	liang3 lao3
两肋	liang3 lei4
两码事	liang3 ma3 shi4
两面	liang3 mian4
两面派	liang3 mian4 pai4
两面性	liang3 mian4 xing4
两旁	liang3 pang2
两栖	liang3 qi1
两栖动物	liang3 qi1 dong4 wu4
两千	liang3 qian1
两千多	liang3 qian1 duo1
两全	liang3 quan2
两审终审制	liang3 shen3 zhong1 shen3 zhi4
两手	liang3 shou3
两天	liang3 tian1
两条道路	liang3 tiao2 dao4 lu4
两条腿走路	liang3 tiao2 tui3 zou3 lu4
两头	liang3 tou2
两万	liang3 wan4
两相	liang3 xiang1
两性	liang3 xing4
两袖清风	liang3 xiu4 qing1 feng1
两样	liang3 yang4
两翼	liang3 yi4
两造	liang3 zao4
两者	liang3 zhe3
两制	liang3 zhi4
两重	liang3 chong2
两重性	liang3 chong2 xing4
两组	liang3 zu3
两鬓	liang3 bin4
辆	liang4
量	liang2
量	liang4
量变	liang4 bian4
量程	liang2 cheng2
量度	liang2 du4
量纲	liang4 gang1
量规	liang2 gui1
量化	liang4 hua4
量角器	liang2 jiao3 qi4
量具	liang2 ju4
量力而行	liang4 li4 er2 xing2
量器	liang2 qi4
量热器	liang2 re4 qi4
量入为出	liang4 ru4 wei2 chu1
量筒	liang2 tong3
量刑	liang4 xing2
量子	liang4 zi3
量子力学	liang4 zi3 li4 xue2
晾	liang4
晾干	liang4 gan1
晾衣服	liang4 yi1 fu2
亮	liang4
亮度	liang4 du4
亮光	liang4 guang1
亮晶晶	liang4 jing1 jing1
亮堂	liang4 tang5
亮堂堂	liang4 tang2 tang2
亮相	liang4 xiang4
谅	liang4
谅解	liang4 jie3
撩	liao1
撩	liao2
撩开	liao1 kai1
聊	liao2
聊城	liao2 cheng2
聊聊	liao2 liao2
聊聊天	liao2 liao2 tian1
聊天	liao2 tian1
僚	liao2
疗	liao2
疗程	liao2 cheng2
疗法	liao2 fa3
疗效	liao2 xiao4
疗养	liao2 yang3
疗养院	liao2 yang3 yuan4
燎	liao2
燎原	liao2 yuan2
寥	liao2
寥寥	liao2 liao2
寥寥无几	liao2 liao2 wu2 ji3
辽东	liao2 dong1
辽东半岛	liao2 dong1 ban4 dao3
辽河	liao2 he2
辽阔	liao2 kuo4
辽宁	liao2 ning2
辽宁省	liao2 ning2 sheng3
辽太郎	liao2 tai4 lang2
辽西	liao2 xi1
辽阳	liao2 yang2
了	le5
了	liao3
了不得	liao3 bu4 de2
了不起	liao3 bu4 qi3
了得	liao3 de2
了结	liao3 jie2
了解	liao3 jie3
了然	liao3 ran2
了如指掌	liao3 ru2 zhi3 zhang3
了事	liao3 shi4
了望	liao4 wang4
撂	liao4
撂下	liao4 xia5
镣	liao4
镣铐	liao4 kao4
廖	liao4
料	liao4
料车	liao4 che1
料到	liao4 dao4
料斗	liao4 dou3
料及	liao4 ji2
料酒	liao4 jiu3
料理	liao4 li3
料量	liao4 liang4
料器	liao4 qi4
料想	liao4 xiang3
料子	liao4 zi5
列	lie4
列车	lie4 che1
列出	lie4 chu1
列传	lie4 zhuan4
列岛	lie4 dao3
列队	lie4 dui4
列夫	lie4 fu1
列国	lie4 guo2
列举	lie4 ju3
列名	lie4 ming2
列宁	lie4 ning2
列宁格勒	lie4 ning2 ge2 le4
列宁全集	lie4 ning2 quan2 ji2
列宁选集	lie4 ning2 xuan3 ji2
列宁主义	lie4 ning2 zhu3 yi4
列强	lie4 qiang2
列入	lie4 ru4
列为	lie4 wei2
列席	lie4 xi2
列支敦士敦	lie4 zhi1 dun1 shi4 deng1
列子	lie4 zi3
裂	lie4
裂变	lie4 bian4
裂缝	lie4 feng4
裂痕	lie4 hen2
裂化	lie3 hua4
裂解	lie4 jie4
裂解气	lie4 jie3 qi4
裂开	lie4 kai1
裂口	lie4 kou3
裂片	lie4 pian4
裂纹	lie4 wen2
裂隙	lie4 xi4
烈	lie4
烈火	lie4 huo3
烈女	lie4 nu:3
烈日	lie4 ri4
烈士	lie4 shi4
烈士陵园	lie4 shi4 ling2 yuan2
烈属	lie4 shu3
烈性	lie4 xing4
烈焰	lie4 yan4
劣	lie4
劣等	lie4 deng3
劣弧	lie4 hu2
劣绅	lie4 shen1
劣势	lie4 shi4
猎	lie4
猎狗	lie4 gou3
猎获	lie4 huo4
猎枪	lie4 qiang1
猎取	lie4 qu3
猎人	lie4 ren2
琳	lin2
琳琅	lin2 lang2
琳琅满目	lin2 lang2 man3 mu4
林	lin2
林产	lin2 chan3
林产品	lin2 chan3 pin3
林场	lin2 chang3
林带	lin2 dai4
林地	lin2 di4
林分	lin2 fen1
林分改造	lin2 fen1 gai3 zao4
林冠	lin2 guan4
林海	lin2 hai3
林科院	lin2 ke1 yuan4
林肯	lin2 ken3
林丽	lin2 li4
林立	lin2 li4
林龄	lin2 ling2
林虑山	lin2 lu:4 shan1
林木	lin2 mu4
林木分化	lin2 mu4 fen1 hua4
林区	lin2 qu1
林泉院	lin2 quan2 yuan4
林县	lin2 xian4
林星	lin2 xing1
林学	lin2 xue2
林业	lin2 ye4
林业部	lin2 ye4 bu4
林子	lin2 zi5
磷	lin2
磷肥	lin2 fei2
磷光	lin2 guang1
磷矿粉	lin2 kuang4 fen3
磷酸	lin2 suan1
磷酸钙	lin2 suan1 gai4
磷酸钠	lin2 suan1 na4
磷酸盐	lin2 suan1 yan2
磷脂	lin2 zhi1
临	lin2
临安	lin2 an1
临别	lin2 bie2
临产	lin2 chan3
临川	lin2 chuan1
临床	lin2 chuang2
临到	lin2 dao4
临汾	lin2 fen2
临海	lin2 hai3
临河	lin2 he2
临江	lin2 jiang1
临街	lin2 jie1
临界	lin2 jie4
临界点	lin2 jie4 dian3
临界温度	lin2 jie4 wen1 du4
临界压	lin2 jie4 ya1
临近	lin2 jin4
临门	lin2 men2
临摹	lin2 mo2
临时	lin2 shi2
临时抱佛脚	lin1 shi2 bao4 fo2 jiao3
临时代办	lin2 shi2 dai4 ban4
临时工	lin2 shi2 gong1
临时政府	lin2 shi2 zheng4 fu3
临水	lin2 shui3
临睡	lin2 shui4
临死	lin2 si3
临头	lin2 tou2
临危不惧	lin2 wei1 bu2 ju4
临刑	lin2 xing2
临行	lin2 xing2
临沂	lin2 yi2
临终	lin2 zhong1
临走	lin2 zou3
邻	lin2
邻邦	lin2 bang1
邻国	lin2 guo2
邻接	lin2 jie1
邻近	lin2 jin4
邻近地区	lin2 jin4 di4 qu1
邻居	lin2 ju1
邻里	lin2 li3
鳞	lin2
鳞茎	lin2 jing1
鳞片	lin2 pian4
淋	lin2
淋	lin4
淋巴	lin2 ba1
淋巴结	lin2 ba1 jie2
淋巴球	lin2 ba1 qiu2
淋巴细胞	lin2 ba1 xi4 bao1
淋漓	lin2 li2
淋漓尽致	lin2 li2 jin4 zhi4
淋淋	lin2 lin2
淋洗	lin2 xi3
淋雨	lin2 yu3
淋浴室	lin2 yu4 shi4
凛	lin3
凛凛	lin3 lin3
凛然	lin3 ran2
凛冽	lin3 lie4
赁	lin4
拎	ling1
玲	ling2
玲玲	ling2 ling2
玲珑	ling2 long2
菱角	ling2 jiao3
菱形	ling2 xing2
零	ling2
零点	ling2 dian3
零度	ling2 du4
零工	ling2 gong1
零件	ling2 jian4
零件图	ling2 jian4 tu2
零乱	ling2 luan4
零落	ling2 luo4
零钱	ling2 qian2
零散	ling2 san5
零时	ling2 shi2
零食	ling2 shi2
零售	ling2 shou4
零售价	ling2 shou4 jia4
零售价格	ling2 shou4 jia4 ge2
零售商	ling2 shou4 shang1
零售市场	ling2 shou4 shi4 chang3
零售业	ling2 shou4 ye4
零碎	ling2 sui4
零头	ling2 tou2
零下	ling2 xia4
零星	ling2 xing1
零星星	ling2 xing1 xing1
零用	ling2 yong4
零用钱	ling2 yong4 qian2
龄	ling2
铃	ling2
铃儿	ling2 er2
铃铛	ling2 dang1
伶俐	ling2 li4
羚羊	ling2 yang2
凌	ling2
凌晨	ling2 chen2
凌河	ling2 he2
凌空	ling2 kong1
凌厉	ling2 li4
凌乱	ling2 luan4
凌辱	ling2 ru3
凌云	ling2 yun2
灵	ling2
灵便	ling2 bian4
灵长类	ling2 zhang3 lei4
灵丹妙药	ling2 dan1 miao4 yao4
灵感	ling2 gan3
灵光	ling2 guang1
灵魂	ling2 hun2
灵活	ling2 huo2
灵活性	ling2 huo2 xing4
灵机一动	ling2 ji1 yi2 dong4
灵敏	ling2 min3
灵敏度	ling2 min3 du4
灵巧	ling2 qiao3
灵山	ling2 shan1
灵通	ling2 tong1
灵通人士	ling2 tong1 ren2 shi4
灵验	ling2 yan4
灵芝	ling2 zhi1
灵柩	ling2 jiu4
陵	ling2
陵墓	ling2 mu4
陵寝	ling2 qin3
陵园	ling2 yuan2
岭	ling3
岭南	ling3 n2
领	ling3
领班	ling3 ban1
领带	ling3 dai4
领导	ling3 dao3
领导人	ling3 dao3 ren2
领导体制	ling3 dao3 ti3 zhi4
领导者	ling3 dao3 zhe3
领道	ling3 dao4
领地	ling3 di4
领队	ling3 dui4
领馆	ling3 guan3
领海	ling3 hai3
领航	ling3 hang2
领航员	ling3 hang2 yuan2
领会	ling3 hui4
领奖	ling3 jiang3
领教	ling3 jiao4
领巾	ling3 jin1
领空	ling3 kong1
领口	ling3 kou3
领略	ling3 lu:e4
领情	ling3 qing2
领取	ling3 qu3
领事	ling3 shi4
领事裁判权	ling3 shi4 cai2 pan4 quan2
领事馆	ling3 shi4 guan3
领受	ling3 shou4
领水	ling3 shui3
领头	ling3 tou2
领头人	ling3 tou2 ren2
领土	ling3 tu3
领土完整	ling3 tu3 wan2 zheng3
领悟	ling3 wu4
领先	ling3 xian1
领衔	ling3 xian2
领袖	ling3 xiu4
领有	ling3 you3
领域	ling3 yu4
领主	ling3 zhu3
领子	ling3 zi5
另	ling4
另外	ling4 wai4
另行	ling4 xing2
另一方面	ling4 yi4 fang1 mian4
令	ling4
令弟	ling4 di4
令辉	ling4 hui1
令人	ling4 ren2
令人发指	ling4 ren2 fa1 zhi3
令人神往	ling4 ren2 shen2 wang3
令人头痛	ling4 ren2 tou2 tong4
令人心疼	ling4 ren2 xin1 teng2
令尊	ling4 zun1
令尊大人	ling4 zun1 da4 ren2
溜	liu1
溜	liu4
溜冰	liu1 bing1
溜子	liu4 zi5
溜走	liu1 zou3
琉	liu2
琉璃	liu2 li2
琉璃厂	liu2 li2 chang3
琉璃瓦	liu2 li2 wa3
琉球	liu2 qiu2
榴弹	liu2 dan4
榴弹炮	liu2 dan4 pao4
硫	liu2
硫胺素	liu2 an4 su4
硫化	liu2 hua4
硫化黑	liu2 hua4 hei1
硫化碱	liu2 hua4 jian3
硫化钠	liu2 hua4 na4
硫化铅	liu2 hua4 qian1
硫化氢	liu2 hua4 qing1
硫化染料	liu2 hua4 ran3 liao4
硫化物	liu2 hua4 wu4
硫化锌	liu2 hua4 xin1
硫磺	liu2 huang2
硫酸	liu2 suan1
硫酸钡	liu2 suan1 bei4
硫酸钙	liu2 suan1 gai4
硫酸钾	liu2 suan1 jia3
硫酸铝	liu2 suan1 lu:3
硫酸镁	liu2 suan1 mei3
硫酸钠	liu2 suan1 na4
硫酸铜	liu2 suan1 tong2
硫酸锌	liu2 suan1 xin1
硫酸亚铁	liu2 suan1 ya4 tie3
硫酸盐	liu2 suan1 yan2
硫酸铵	liu2 suan1 an3
硫铁矿	liu2 tie3 kuang4
留	liu2
留传	liu2 chuan2
留存	liu2 cun2
留点	liu2 dian3
留给	liu2 gei3
留级	liu2 ji2
留级生	liu2 ji2 sheng1
留居	liu2 ju1
留空	liu2 kong4
留连	liu2 lian2
留恋	liu2 lian4
留念	liu2 nian4
留情	liu2 qing2
留任	liu2 ren4
留神	liu2 shen2
留声机	liu2 sheng1 ji1
留守	liu2 shou3
留下	liu2 xia4
留校	liu2 xiao4
留心	liu2 xin1
留学	liu2 xue2
留学生	liu2 xue2 sheng1
留言	liu2 yan2
留意	liu2 yi4
留影	liu2 ying3
留用	liu2 yong4
留有余地	liu2 you3 yu2 di4
留置	liu2 zhi4
留置权	liu2 zhi4 quan2
留驻	liu2 zhu4
留足	liu2 zu2
留足迹	liu2 zu2 ji1
刘	liu2
刘邦	liu2 bang1
刘备	liu2 bei4
刘表	liu2 biao3
刘海粟	liu2 hai3 su4
刘胡兰	liu2 hu2 lan2
刘华清	liu2 hua2 qing1
刘少奇	liu2 shao4 qi2
刘易斯	liu2 yi4 si1
瘤	liu2
瘤胃	liu2 wei4
流	liu2
流弊	liu2 bi4
流产	liu2 chan3
流畅	liu2 chang4
流程	liu2 cheng2
流出	liu2 chu1
流传	liu2 chuan2
流窜	liu2 cuan4
流窜犯	liu2 cuan4 fan4
流动	liu2 dong4
流动力学	liu2 dong4 li4 xue2
流动人口	liu2 dong4 ren2 kou3
流动人员	liu2 dong4 ren2 yuan2
流动性	liu2 dong4 xing4
流动资本	liu2 dong4 zi1 ben3
流动资产	liu2 dong4 zi1 chan3
流毒	liu2 du2
流芳	liu2 fang1
流放	liu2 fang4
流过	liu2 guo4
流化床	liu2 hua4 chuang2
流尽	liu2 jin4
流经	liu2 jing1
流寇	liu2 kou4
流浪	liu2 lang4
流浪者	liu2 lang4 zhe3
流泪	liu2 lei4
流离	liu2 li2
流离失所	liu2 li2 shi1 suo3
流利	liu2 li4
流量	liu2 liang4
流露	liu2 lu4
流落	liu2 luo4
流氓	liu2 mang2
流民	liu2 min2
流派	liu2 pai4
流入	liu2 ru4
流散	liu2 san4
流沙	liu2 sha1
流失	liu2 shi1
流逝	liu2 shi4
流水	liu2 shui3
流水线	liu2 shui3 xian4
流水作业	liu2 shui3 zuo4 ye4
流速	liu2 su4
流速度	liu2 su4 du4
流淌	liu2 tang3
流体	liu2 ti3
流体力学	liu2 ti3 li4 xue2
流通	liu2 tong1
流通费用	liu2 tong1 fei4 yong4
流通手段	liu2 tong1 shou3 duan4
流亡	liu2 wang2
流亡政府	liu2 wang2 zheng4 fu3
流网	liu2 wang3
流下	liu2 xia4
流线	liu2 xian4
流线型	liu2 xian4 xing2
流星	liu2 xing1
流行	liu2 xing2
流行病	liu2 xing2 bing4
流行病学	liu2 xing2 bing4 xue2
流行歌	liu2 xing2 ge1
流行歌曲	liu2 xing2 ge1 qu3
流行性	liu2 xing2 xing4
流行音乐	liu2 xing2 yin1 yue4
流血	liu2 xie3
流血	liu2 xue4
流血牺牲	liu2 xie3 xi1 sheng1
流言	liu2 yan2
流言蜚语	liu2 yan2 fei1 yu3
流于形式	liu2 yu2 xing2 shi4
流域	liu2 yu4
流域面积	liu2 yu4 mian4 ji1
流转	liu2 zhuan3
柳	liu3
柳暗花明	liu3 an4 hua1 ming2
柳敬亭	liu3 jing4 ting2
柳林	liu3 lin2
柳琴	liu3 qin2
柳杉	liu3 shan1
柳树	liu3 shu4
柳条	liu3 tiao2
柳叶	liu3 ye4
柳荫	liu3 yin1
柳枝	liu3 zhi1
柳州	liu3 zhou1
柳宗元	liu3 zong1 yuan2
六	liu4
六安	liu4 an1
六八年	liu4 ba1 nian2
六百	liu4 bai3
六边形	liu4 bian1 xing2
六部	liu4 bu4
六朝	liu4 chao2
六根	liu4 gen1
六号	liu4 hao4
六合	lu4 he2
六角	liu4 jiao3
六经	liu4 jing1
六六六	liu4 liu4 liu4
六千	liu4 qian1
六日	liu4 ri4
六十	liu4 shi2
六十八	liu4 shi2 ba1
六十多	liu4 shi2 duo1
六十二	liu4 shi2 er4
六十九	liu4 shi2 jiu3
六十六	liu4 shi2 liu4
六十七	liu4 shi2 qi1
六十三	liu4 shi2 san1
六十四	liu4 shi2 si4
六十五	liu4 shi2 wu3
六十一	liu4 shi2 yi1
六条	liu4 tiao2
六畜	liu4 chu4
六艺	liu4 yi4
六月	liu4 yue4
六镇	liu4 zhen4
龙	long2
龙船	long2 chuan2
龙灯	long2 deng1
龙洞	long2 dong4
龙芬	long2 fen1
龙凤	long2 feng4
龙宫	long2 gong1
龙骨	long2 gu3
龙虎	long2 hu3
龙江	long2 jiang1
龙井	long2 jing3
龙井茶	long2 jing3 cha2
龙驹	long2 ju1
龙卷风	long2 juan3 feng1
龙口	long2 kou3
龙门	long2 men2
龙门架	long2 men2 jia4
龙泉	long2 quan2
龙山	long2 shan1
龙山文化	long2 shan1 wen2 hua4
龙潭	long2 tan2
龙潭寺	long2 tan2 si4
龙套	long2 tao4
龙头	long2 tou2
龙王	long2 wang2
龙溪	long2 xi1
龙虾	long2 xia1
龙须沟	long2 xu1 gou1
龙岩	long2 yan2
龙眼	long2 yan3
龙舟	long2 zhou1
龙舟赛	long2 zhou1 sai4
聋	long2
聋哑	long2 ya1
聋子	long2 zi5
笼	long2
笼	long3
笼络	long3 luo4
笼山寺	long2 shan1 si4
笼统	long3 tong3
笼头	long2 tou2
笼罩	long3 zhao4
笼子	long2 zi5
隆	long2
隆冬	long2 dong1
隆隆	long2 long2
隆起	long2 qi3
隆重	long2 zhong4
垄	long3
垄断	long3 duan4
垄断价格	long3 duan4 jia4 ge2
垄断利润	long3 duan4 li4 run4
垄断市场	long3 duan4 shi4 chang3
垄断资本	long3 duan4 zi1 ben3
垄断资本家	long3 duan4 zi1 ben3 jia1
垄断资本主义	long3 duan4 zi1 ben3 zhu3 yi4
垄断资产阶级	long3 duan4 zi1 chan3 jie1 ji2
垄断组织	long3 duan4 zu3 zhi1
垄作	long3 zuo4
拢	long3
楼	lou2
楼板	lou2 ban3
楼层	lou2 ceng2
楼船	lou2 chuan2
楼道	lou2 dao4
楼顶	lou2 ding3
楼房	lou2 fang2
楼盖	lou2 gai4
楼阁	lou2 ge2
楼面	lou2 mian4
楼上	lou2 shang4
楼台	lou2 tai2
楼梯	lou2 ti1
楼下	lou2 xia4
搂	lou1
搂	lou3
篓	lou3
漏	lou4
漏出	lou4 chu1
漏电	lou4 dian4
漏掉	lou4 diao4
漏洞	lou4 dong4
漏斗	lou4 dou3
漏风	lou4 feng1
漏气	lou4 qi4
漏勺	lou4 shao2
漏税	lou4 shui4
漏网	lou4 wang3
漏下	lou4 xia4
陋	lou4
陋习	lou4 xi2
芦	lu2
芦沟桥	lu2 gou1 qiao2
芦花	lu2 hua1
芦笋	lu2 sun3
芦苇	lu2 wei3
芦苇塘	lu2 wei3 tang2
芦席	lu2 xi2
芦笙	lu2 sheng1
卢	lu2
卢安达	lu2 an1 da2
卢比	lu2 bi3
卢布	lu2 bu4
卢萨卡	lu2 sa4 ka3
卢森堡	lu2 sen1 bao3
卢旺达	lu2 wang4 da2
颅骨	lu2 gu3
庐江	lu2 jiang1
庐山	lu2 shan1
庐州	lu2 zhou1
炉	lu2
炉衬	lu2 chen4
炉顶	lu2 ding3
炉管	lu2 guan3
炉灰	lu2 hui1
炉火	lu2 huo3
炉火纯青	lu2 huo3 chun2 qing1
炉料	lu2 liao4
炉龄	lu2 ling2
炉门	lu2 men2
炉膛	lu2 tang2
炉温	lu2 wen1
炉灶	lu2 zao4
炉渣	lu2 zha1
炉子	lu2 zi5
卤	lu3
卤化	lu3 hua4
卤化物	lu3 hua4 wu4
卤水	lu3 shui3
卤素	lu3 su4
卤族	lu3 zu2
鲁	lu3
鲁班	lu3 ban1
鲁莽	lu3 mang3
鲁迅	lu3 xun4
碌碌	lu4 lu4
露	lou4
露	lu4
露出	lu4 chu1
露点	lou4 dian3
露骨	lu4 gu3
露面	lu4 mian4
露水	lu4 shui5
露水河	lu4 shui3 he2
露宿	lu4 su4
露天	lu4 tian1
露天开采	lu4 tian1 kai1 cai3
露天矿	lu4 tian1 kuang4
露头	lou4 tou2
露头角	lu4 tou2 jiao3
露营	lu4 ying2
露珠	lu4 zhu1
路	lu4
路霸	lu4 ba4
路北	lu4 bei3
路标	lu4 biao1
路程	lu4 cheng2
路德	lu4 de2
路灯	lu4 deng1
路端电压	lu4 duan1 dian4 ya1
路段	lu4 duan4
路费	lu4 fei4
路轨	lu4 gui3
路过	lu4 guo4
路基	lu4 ji1
路径	lu4 jing4
路局	lu4 ju2
路口	lu4 kou3
路矿	lu4 kuang4
路面	lu4 mian4
路牌	lu4 pai2
路签	lu4 qian1
路人	lu4 ren2
路上	lu4 shang4
路数	lu4 shu4
路透社	lu4 tou4 she4
路途	lu4 tu2
路线	lu4 xian4
路线斗争	lu4 xian4 dou4 zheng1
路易	lu4 yi4
路易斯	lu4 yi4 si1
路易斯安那	lu4 yi4 si1 an1 na4
路易斯安纳	lu4 yi4 si1 an1 na4
路障	lu4 zhang4
路子	lu4 zi5
鹿	lu4
鹿儿岛	lu4 er2 dao3
鹿港	lu4 gang3
鹿茸	lu4 rong2
鹿特丹	lu4 te4 dan1
禄	lu4
录	lu4
录取	lu4 qu3
录像	lu4 xiang4
录像带	lu4 xiang4 dai4
录像机	lu4 xiang4 ji1
录象	lu4 xiang4
录象机	lu4 xiang4 ji1
录一录	lu4 yi2 lu4
录音	lu4 yin1
录音带	lu4 yin1 dai4
录音机	lu4 yin1 ji1
录音室	lu4 yin1 shi4
录影带	lu4 ying3 dai4
录影机	lu4 ying3 ji1
录用	lu4 yong4
陆	liu4
陆	lu4
陆地	lu4 di4
陆地棉	lu4 di4 mian2
陆丰	lu4 feng1
陆海	lu4 hai3
陆家嘴	lu4 jia1 zui3
陆军	lu4 jun1
陆路	lu4 lu4
陆陆续续	lu4 lu5 xu4 xu4
陆委会	lu4 wei3 hui4
陆续	lu4 xu4
陆游	lu4 you2
陆运	lu4 yun4
戮力	lu4 li4
驴	lu:2
吕	lu:3
吕梁	lu:3 liang2
铝	lu:3
铝箔	lu:3 bo2
铝土矿	lu:3 tu3 kuang4
旅	lu:3
旅长	lu:3 zhang3
旅程	lu:3 cheng2
旅大	lu:3 da4
旅店	lu:3 dian4
旅费	lu:3 fei4
旅馆	lu:3 guan3
旅居	lu:3 ju1
旅客	lu:3 ke4
旅客列车	lu:3 ke4 lie4 che1
旅社	lu:3 she4
旅顺	lu:3 shun4
旅顺口	lu:3 shun4 kou3
旅途	lu:3 tu2
旅途中	lu:3 tu2 zhong1
旅行	lu:3 xing2
旅行袋	lu:3 xing2 dai4
旅行家	lu:3 xing2 jia1
旅行社	lu:3 xing2 she4
旅行团	lu:3 xing2 tuan2
旅行业	lu:3 xing2 ye4
旅行者	lu:3 xing2 zhe3
旅行支票	lu:3 xing2 zhi1 piao4
旅游	lu:3 you2
旅游船	lu:3 you2 chuan2
旅游局	lu:3 you2 ju2
旅游团	lu:3 you2 tuan2
旅游鞋	lu:3 you2 xie2
旅游业	lu:3 you2 ye4
旅游者	lu:3 you2 zhe3
履	lu:3
履带	lu:3 dai4
履历	lu:3 li4
履历表	lu:3 li4 biao3
履行	lu:3 xing2
屡	lu:3
屡次	lu:3 ci4
屡见不鲜	lu:3 jian4 bu4 xian1
屡教不改	lu:3 jiao4 bu4 gai3
屡屡	lu:3 lu:3
缕	lu:3
缕缕	lu:3 lu:3
虑	lu:4
氯	lu:4
氯苯	lu:4 ben3
氯丁橡胶	lu:4 ding1 xiang4 jiao1
氯仿	lu:4 fang3
氯化	lu:4 hua4
氯化钙	lu:4 hua4 gai4
氯化钾	lu:4 hua4 jia3
氯化铝	lu:4 hua4 lu:3
氯化镁	lu:4 hua4 mei3
氯化钠	lu:4 hua4 na4
氯化氢	lu:4 hua4 qing1
氯化氰	lu:4 hua4 qing2
氯化铁	lu:4 hua4 tie3
氯化物	lu:4 hua4 wu4
氯化锌	lu:4 hua4 xin1
氯化亚锡	lu:4 hua4 ya4 xi1
氯化铵	lu:4 hua4 an3
氯纶	lu:4 lun2
氯霉素	lu:4 mei2 su4
氯气	lu:4 qi4
氯酸	lu:4 suan1
氯酸钾	lu:4 suan1 jia3
氯乙烯	lu:4 yi3 xi1
律	lu:4
律师	lu:4 shi1
律师事务	lu:4 shi1 shi4 wu4
律师事务所	lu:4 shi1 shi4 wu4 suo3
